filename,label,prediccion
pop.00065.wav.18,pop,pop
blues.00050.wav.29,blues,blues
jazz.00015.wav.13,jazz,jazz
rock.00065.wav.6,rock,rock
blues.00008.wav.12,blues,blues
disco.00028.wav.6,disco,disco
hiphop.00093.wav.3,hiphop,hiphop
reggae.00008.wav.13,reggae,rock
rock.00042.wav.6,rock,pop
rock.00022.wav.20,rock,rock
rock.00088.wav.28,rock,rock
blues.00032.wav.29,blues,blues
metal.00037.wav.20,metal,metal
blues.00085.wav.21,blues,blues
pop.00033.wav.1,pop,pop
country.00096.wav.22,country,country
hiphop.00016.wav.25,hiphop,hiphop
hiphop.00085.wav.1,hiphop,hiphop
blues.00088.wav.9,blues,blues
reggae.00063.wav.0,reggae,reggae
blues.00084.wav.29,blues,blues
country.00016.wav.18,country,country
hiphop.00033.wav.29,hiphop,hiphop
classical.00046.wav.24,classical,classical
rock.00041.wav.2,rock,rock
country.00035.wav.17,country,country
disco.00042.wav.27,disco,rock
pop.00010.wav.19,pop,pop
pop.00026.wav.7,pop,pop
disco.00061.wav.17,disco,disco
blues.00068.wav.14,blues,blues
reggae.00033.wav.24,reggae,reggae
blues.00052.wav.0,blues,blues
reggae.00034.wav.22,reggae,reggae
country.00010.wav.22,country,country
metal.00001.wav.27,metal,metal
reggae.00081.wav.25,reggae,reggae
classical.00059.wav.2,classical,classical
rock.00098.wav.24,rock,rock
pop.00018.wav.0,pop,pop
country.00051.wav.21,country,classical
classical.00037.wav.17,classical,classical
jazz.00057.wav.24,jazz,jazz
jazz.00028.wav.23,jazz,jazz
country.00044.wav.27,country,country
disco.00069.wav.13,disco,disco
hiphop.00071.wav.24,hiphop,hiphop
hiphop.00086.wav.20,hiphop,hiphop
classical.00076.wav.26,classical,classical
metal.00077.wav.12,metal,metal
metal.00061.wav.15,metal,metal
pop.00040.wav.19,pop,pop
reggae.00007.wav.23,reggae,reggae
country.00014.wav.22,country,pop
hiphop.00039.wav.6,hiphop,hiphop
hiphop.00047.wav.21,hiphop,pop
country.00068.wav.22,country,country
country.00099.wav.15,country,country
metal.00015.wav.7,metal,metal
country.00019.wav.12,country,country
jazz.00021.wav.13,jazz,jazz
blues.00082.wav.22,blues,blues
disco.00047.wav.26,disco,classical
pop.00080.wav.20,pop,pop
classical.00041.wav.11,classical,classical
rock.00040.wav.10,rock,pop
metal.00020.wav.5,metal,metal
reggae.00007.wav.22,reggae,reggae
reggae.00085.wav.9,reggae,reggae
reggae.00009.wav.19,reggae,reggae
country.00029.wav.12,country,country
pop.00032.wav.20,pop,pop
pop.00047.wav.8,pop,pop
classical.00071.wav.12,classical,classical
hiphop.00058.wav.3,hiphop,hiphop
pop.00030.wav.4,pop,pop
rock.00071.wav.29,rock,rock
classical.00099.wav.12,classical,classical
pop.00029.wav.19,pop,pop
pop.00017.wav.12,pop,pop
jazz.00099.wav.12,jazz,jazz
reggae.00063.wav.16,reggae,reggae
hiphop.00058.wav.15,hiphop,hiphop
blues.00074.wav.12,blues,blues
jazz.00076.wav.23,jazz,country
blues.00078.wav.3,blues,blues
reggae.00027.wav.13,reggae,reggae
blues.00077.wav.26,blues,blues
blues.00046.wav.22,blues,blues
rock.00069.wav.3,rock,rock
hiphop.00007.wav.19,hiphop,hiphop
classical.00006.wav.2,classical,classical
classical.00058.wav.10,classical,classical
jazz.00096.wav.15,jazz,jazz
reggae.00022.wav.7,reggae,reggae
metal.00022.wav.21,metal,metal
metal.00065.wav.21,metal,metal
blues.00089.wav.20,blues,country
metal.00022.wav.13,metal,metal
classical.00039.wav.13,classical,classical
reggae.00039.wav.4,reggae,reggae
pop.00055.wav.8,pop,pop
hiphop.00076.wav.21,hiphop,hiphop
pop.00085.wav.5,pop,pop
rock.00011.wav.7,rock,rock
pop.00090.wav.20,pop,disco
hiphop.00049.wav.3,hiphop,hiphop
classical.00091.wav.29,classical,classical
pop.00005.wav.11,pop,pop
hiphop.00068.wav.2,hiphop,hiphop
pop.00069.wav.22,pop,pop
blues.00048.wav.4,blues,blues
reggae.00062.wav.8,reggae,reggae
reggae.00019.wav.24,reggae,reggae
jazz.00059.wav.0,jazz,jazz
jazz.00075.wav.19,jazz,jazz
country.00069.wav.24,country,country
pop.00037.wav.28,pop,hiphop
rock.00049.wav.2,rock,rock
jazz.00050.wav.18,jazz,jazz
disco.00029.wav.17,disco,pop
rock.00057.wav.24,rock,rock
classical.00028.wav.0,classical,classical
hiphop.00001.wav.19,hiphop,hiphop
disco.00079.wav.14,disco,disco
jazz.00047.wav.16,jazz,jazz
hiphop.00025.wav.11,hiphop,hiphop
pop.00034.wav.11,pop,pop
classical.00013.wav.2,classical,classical
blues.00064.wav.28,blues,blues
country.00018.wav.3,country,country
disco.00081.wav.25,disco,metal
classical.00072.wav.5,classical,classical
reggae.00062.wav.12,reggae,reggae
country.00026.wav.23,country,blues
hiphop.00072.wav.6,hiphop,hiphop
disco.00032.wav.17,disco,disco
reggae.00096.wav.20,reggae,reggae
rock.00099.wav.20,rock,rock
blues.00029.wav.13,blues,blues
reggae.00005.wav.4,reggae,reggae
pop.00066.wav.17,pop,pop
hiphop.00017.wav.13,hiphop,hiphop
country.00020.wav.18,country,country
blues.00051.wav.20,blues,blues
classical.00022.wav.13,classical,classical
disco.00050.wav.0,disco,disco
country.00042.wav.6,country,country
blues.00041.wav.5,blues,blues
rock.00042.wav.28,rock,jazz
jazz.00036.wav.17,jazz,jazz
country.00036.wav.8,country,country
classical.00073.wav.2,classical,classical
country.00080.wav.5,country,country
rock.00080.wav.3,rock,rock
jazz.00029.wav.21,jazz,jazz
classical.00091.wav.15,classical,classical
country.00083.wav.17,country,country
classical.00049.wav.11,classical,classical
metal.00037.wav.28,metal,metal
jazz.00043.wav.27,jazz,jazz
disco.00021.wav.4,disco,country
rock.00077.wav.7,rock,rock
rock.00011.wav.21,rock,rock
metal.00027.wav.1,metal,metal
rock.00046.wav.9,rock,country
hiphop.00015.wav.5,hiphop,hiphop
pop.00011.wav.7,pop,pop
disco.00035.wav.4,disco,disco
pop.00073.wav.22,pop,pop
blues.00082.wav.25,blues,blues
pop.00032.wav.19,pop,pop
hiphop.00001.wav.10,hiphop,hiphop
country.00058.wav.7,country,country
hiphop.00008.wav.29,hiphop,hiphop
disco.00016.wav.7,disco,disco
metal.00062.wav.9,metal,metal
metal.00022.wav.7,metal,metal
country.00032.wav.18,country,jazz
country.00041.wav.10,country,country
country.00080.wav.10,country,country
metal.00089.wav.21,metal,metal
classical.00052.wav.12,classical,classical
classical.00028.wav.15,classical,country
metal.00047.wav.12,metal,metal
country.00051.wav.5,country,country
reggae.00007.wav.29,reggae,reggae
hiphop.00089.wav.3,hiphop,hiphop
pop.00022.wav.22,pop,pop
jazz.00073.wav.16,jazz,jazz
pop.00094.wav.24,pop,pop
jazz.00099.wav.29,jazz,jazz
jazz.00005.wav.13,jazz,jazz
classical.00062.wav.23,classical,classical
disco.00096.wav.0,disco,disco
country.00002.wav.24,country,country
classical.00091.wav.25,classical,classical
metal.00092.wav.2,metal,metal
disco.00098.wav.9,disco,disco
reggae.00089.wav.12,reggae,reggae
classical.00001.wav.23,classical,classical
metal.00018.wav.26,metal,metal
hiphop.00068.wav.13,hiphop,hiphop
pop.00046.wav.24,pop,pop
blues.00039.wav.8,blues,blues
reggae.00087.wav.18,reggae,pop
blues.00032.wav.4,blues,blues
country.00090.wav.5,country,country
metal.00070.wav.1,metal,metal
reggae.00046.wav.23,reggae,reggae
blues.00059.wav.11,blues,blues
disco.00060.wav.19,disco,disco
disco.00044.wav.19,disco,disco
classical.00076.wav.6,classical,classical
reggae.00073.wav.8,reggae,reggae
hiphop.00014.wav.20,hiphop,hiphop
metal.00074.wav.10,metal,metal
disco.00021.wav.17,disco,disco
reggae.00005.wav.22,reggae,rock
jazz.00048.wav.13,jazz,jazz
hiphop.00033.wav.18,hiphop,hiphop
jazz.00070.wav.5,jazz,jazz
hiphop.00020.wav.7,hiphop,hiphop
classical.00064.wav.21,classical,classical
pop.00049.wav.13,pop,pop
classical.00004.wav.11,classical,classical
hiphop.00023.wav.19,hiphop,metal
rock.00084.wav.15,rock,rock
reggae.00042.wav.23,reggae,reggae
blues.00029.wav.5,blues,blues
country.00066.wav.10,country,country
hiphop.00099.wav.13,hiphop,hiphop
reggae.00059.wav.8,reggae,reggae
rock.00086.wav.16,rock,rock
blues.00094.wav.6,blues,blues
classical.00032.wav.7,classical,classical
pop.00048.wav.28,pop,pop
rock.00067.wav.25,rock,rock
reggae.00054.wav.8,reggae,reggae
classical.00037.wav.19,classical,classical
disco.00047.wav.15,disco,pop
country.00022.wav.4,country,hiphop
disco.00009.wav.11,disco,disco
disco.00062.wav.24,disco,reggae
hiphop.00018.wav.25,hiphop,disco
classical.00040.wav.20,classical,classical
blues.00064.wav.1,blues,blues
hiphop.00025.wav.6,hiphop,hiphop
pop.00045.wav.15,pop,pop
pop.00080.wav.26,pop,pop
disco.00017.wav.16,disco,disco
jazz.00093.wav.1,jazz,jazz
reggae.00005.wav.23,reggae,reggae
hiphop.00003.wav.26,hiphop,hiphop
reggae.00060.wav.26,reggae,reggae
country.00030.wav.19,country,country
pop.00000.wav.9,pop,pop
jazz.00051.wav.2,jazz,jazz
rock.00051.wav.29,rock,rock
disco.00028.wav.22,disco,disco
country.00042.wav.17,country,country
country.00024.wav.17,country,country
rock.00057.wav.9,rock,rock
pop.00029.wav.5,pop,pop
reggae.00025.wav.8,reggae,reggae
jazz.00002.wav.28,jazz,jazz
blues.00033.wav.16,blues,blues
blues.00096.wav.27,blues,country
blues.00005.wav.18,blues,blues
disco.00097.wav.25,disco,disco
classical.00085.wav.7,classical,classical
country.00079.wav.5,country,blues
country.00085.wav.5,country,country
metal.00030.wav.0,metal,metal
blues.00094.wav.14,blues,blues
pop.00062.wav.16,pop,pop
disco.00054.wav.29,disco,metal
hiphop.00026.wav.25,hiphop,hiphop
rock.00092.wav.27,rock,rock
pop.00070.wav.10,pop,pop
blues.00051.wav.3,blues,blues
reggae.00097.wav.3,reggae,reggae
disco.00070.wav.14,disco,disco
rock.00064.wav.3,rock,rock
hiphop.00058.wav.25,hiphop,hiphop
blues.00070.wav.8,blues,blues
pop.00039.wav.6,pop,pop
hiphop.00060.wav.1,hiphop,hiphop
rock.00034.wav.16,rock,rock
reggae.00063.wav.3,reggae,reggae
rock.00046.wav.21,rock,country
hiphop.00040.wav.7,hiphop,hiphop
hiphop.00071.wav.28,hiphop,hiphop
blues.00049.wav.12,blues,blues
hiphop.00051.wav.12,hiphop,hiphop
country.00039.wav.1,country,country
blues.00093.wav.4,blues,blues
blues.00039.wav.20,blues,country
pop.00097.wav.17,pop,hiphop
reggae.00001.wav.23,reggae,country
rock.00062.wav.28,rock,rock
disco.00042.wav.0,disco,disco
disco.00038.wav.22,disco,disco
pop.00080.wav.24,pop,pop
jazz.00025.wav.2,jazz,jazz
reggae.00007.wav.7,reggae,reggae
jazz.00075.wav.27,jazz,jazz
blues.00062.wav.10,blues,blues
rock.00078.wav.7,rock,rock
jazz.00071.wav.18,jazz,jazz
jazz.00079.wav.26,jazz,jazz
reggae.00062.wav.1,reggae,reggae
rock.00054.wav.2,rock,rock
jazz.00051.wav.24,jazz,jazz
reggae.00067.wav.23,reggae,reggae
pop.00031.wav.15,pop,pop
reggae.00097.wav.18,reggae,reggae
pop.00024.wav.1,pop,pop
hiphop.00009.wav.16,hiphop,hiphop
hiphop.00017.wav.11,hiphop,hiphop
disco.00014.wav.11,disco,disco
blues.00028.wav.25,blues,blues
pop.00094.wav.2,pop,pop
classical.00093.wav.26,classical,classical
reggae.00004.wav.7,reggae,reggae
reggae.00048.wav.0,reggae,reggae
hiphop.00038.wav.16,hiphop,hiphop
country.00046.wav.14,country,country
pop.00068.wav.2,pop,pop
disco.00038.wav.24,disco,disco
jazz.00065.wav.21,jazz,jazz
hiphop.00069.wav.16,hiphop,hiphop
country.00077.wav.25,country,country
hiphop.00026.wav.27,hiphop,hiphop
hiphop.00020.wav.25,hiphop,hiphop
reggae.00004.wav.3,reggae,reggae
jazz.00034.wav.20,jazz,jazz
jazz.00022.wav.25,jazz,jazz
classical.00036.wav.29,classical,classical
classical.00019.wav.25,classical,classical
classical.00082.wav.0,classical,classical
reggae.00034.wav.12,reggae,reggae
disco.00080.wav.5,disco,disco
hiphop.00028.wav.27,hiphop,hiphop
reggae.00072.wav.6,reggae,reggae
metal.00044.wav.11,metal,metal
pop.00073.wav.2,pop,pop
disco.00086.wav.27,disco,country
pop.00080.wav.23,pop,pop
jazz.00045.wav.16,jazz,jazz
metal.00042.wav.0,metal,metal
jazz.00053.wav.24,jazz,jazz
reggae.00074.wav.11,reggae,reggae
rock.00096.wav.15,rock,rock
jazz.00081.wav.18,jazz,jazz
hiphop.00055.wav.5,hiphop,reggae
classical.00014.wav.15,classical,classical
hiphop.00086.wav.9,hiphop,hiphop
classical.00002.wav.25,classical,classical
reggae.00089.wav.7,reggae,reggae
metal.00012.wav.24,metal,metal
disco.00015.wav.28,disco,disco
hiphop.00089.wav.10,hiphop,hiphop
metal.00031.wav.27,metal,metal
country.00080.wav.13,country,metal
reggae.00063.wav.4,reggae,reggae
reggae.00098.wav.17,reggae,reggae
reggae.00096.wav.4,reggae,reggae
blues.00040.wav.29,blues,blues
metal.00038.wav.23,metal,metal
country.00079.wav.21,country,country
blues.00051.wav.24,blues,blues
pop.00093.wav.5,pop,pop
disco.00052.wav.20,disco,disco
country.00046.wav.21,country,country
reggae.00011.wav.2,reggae,reggae
classical.00062.wav.29,classical,classical
jazz.00012.wav.15,jazz,rock
blues.00002.wav.6,blues,blues
blues.00033.wav.0,blues,blues
classical.00054.wav.10,classical,classical
metal.00073.wav.8,metal,metal
reggae.00070.wav.3,reggae,reggae
blues.00063.wav.15,blues,blues
jazz.00016.wav.3,jazz,jazz
disco.00029.wav.7,disco,disco
metal.00031.wav.19,metal,metal
disco.00020.wav.7,disco,disco
blues.00067.wav.18,blues,blues
reggae.00019.wav.16,reggae,reggae
classical.00032.wav.17,classical,classical
hiphop.00055.wav.28,hiphop,reggae
country.00089.wav.28,country,country
rock.00023.wav.17,rock,rock
pop.00052.wav.11,pop,pop
metal.00000.wav.28,metal,metal
pop.00085.wav.10,pop,pop
disco.00045.wav.21,disco,disco
classical.00085.wav.9,classical,classical
blues.00028.wav.5,blues,blues
rock.00088.wav.5,rock,rock
hiphop.00010.wav.20,hiphop,hiphop
reggae.00049.wav.17,reggae,reggae
classical.00047.wav.21,classical,classical
reggae.00029.wav.10,reggae,reggae
country.00045.wav.16,country,country
reggae.00024.wav.11,reggae,reggae
reggae.00041.wav.12,reggae,reggae
metal.00075.wav.5,metal,metal
hiphop.00067.wav.22,hiphop,hiphop
classical.00004.wav.27,classical,classical
metal.00059.wav.27,metal,metal
blues.00036.wav.14,blues,blues
reggae.00070.wav.23,reggae,reggae
jazz.00016.wav.28,jazz,jazz
blues.00029.wav.12,blues,blues
disco.00080.wav.20,disco,disco
blues.00069.wav.10,blues,metal
pop.00066.wav.23,pop,pop
pop.00061.wav.20,pop,pop
pop.00053.wav.5,pop,pop
blues.00013.wav.16,blues,blues
disco.00009.wav.3,disco,disco
reggae.00043.wav.22,reggae,reggae
blues.00048.wav.2,blues,blues
pop.00057.wav.16,pop,pop
classical.00029.wav.2,classical,classical
jazz.00056.wav.9,jazz,jazz
blues.00081.wav.1,blues,blues
rock.00040.wav.3,rock,disco
country.00052.wav.4,country,country
pop.00085.wav.24,pop,pop
classical.00002.wav.16,classical,classical
pop.00092.wav.21,pop,pop
country.00094.wav.7,country,country
blues.00036.wav.16,blues,blues
pop.00032.wav.1,pop,reggae
hiphop.00021.wav.13,hiphop,blues
country.00057.wav.5,country,country
metal.00091.wav.12,metal,metal
classical.00068.wav.0,classical,classical
disco.00012.wav.2,disco,rock
metal.00011.wav.11,metal,metal
rock.00083.wav.28,rock,rock
rock.00038.wav.24,rock,rock
hiphop.00011.wav.5,hiphop,hiphop
rock.00045.wav.6,rock,rock
metal.00046.wav.2,metal,metal
jazz.00019.wav.16,jazz,jazz
classical.00098.wav.20,classical,classical
pop.00012.wav.21,pop,disco
pop.00075.wav.23,pop,pop
hiphop.00075.wav.0,hiphop,hiphop
metal.00096.wav.16,metal,metal
blues.00085.wav.16,blues,blues
rock.00024.wav.3,rock,rock
rock.00036.wav.0,rock,rock
classical.00073.wav.0,classical,classical
jazz.00047.wav.21,jazz,jazz
reggae.00031.wav.9,reggae,reggae
metal.00047.wav.15,metal,metal
country.00026.wav.5,country,country
country.00081.wav.27,country,country
classical.00057.wav.8,classical,classical
country.00022.wav.9,country,country
metal.00029.wav.14,metal,metal
reggae.00064.wav.15,reggae,reggae
disco.00077.wav.9,disco,disco
reggae.00054.wav.12,reggae,reggae
metal.00042.wav.19,metal,metal
country.00031.wav.22,country,country
country.00048.wav.8,country,country
reggae.00051.wav.29,reggae,reggae
rock.00021.wav.16,rock,rock
metal.00037.wav.2,metal,metal
blues.00093.wav.24,blues,blues
jazz.00090.wav.20,jazz,jazz
classical.00061.wav.23,classical,classical
reggae.00072.wav.8,reggae,reggae
country.00024.wav.13,country,country
hiphop.00027.wav.2,hiphop,hiphop
metal.00098.wav.22,metal,metal
country.00063.wav.11,country,country
country.00071.wav.4,country,country
jazz.00012.wav.24,jazz,jazz
hiphop.00096.wav.19,hiphop,hiphop
metal.00055.wav.4,metal,metal
country.00056.wav.8,country,country
disco.00071.wav.19,disco,disco
metal.00096.wav.23,metal,metal
metal.00054.wav.6,metal,metal
reggae.00052.wav.25,reggae,reggae
disco.00051.wav.19,disco,disco
blues.00009.wav.11,blues,blues
jazz.00014.wav.2,jazz,classical
classical.00051.wav.2,classical,classical
metal.00041.wav.22,metal,metal
blues.00073.wav.8,blues,blues
rock.00061.wav.17,rock,rock
hiphop.00054.wav.3,hiphop,hiphop
hiphop.00009.wav.4,hiphop,hiphop
blues.00096.wav.14,blues,blues
rock.00077.wav.12,rock,rock
classical.00005.wav.7,classical,classical
country.00025.wav.11,country,country
jazz.00069.wav.12,jazz,pop
blues.00024.wav.8,blues,blues
rock.00045.wav.5,rock,rock
disco.00011.wav.22,disco,disco
pop.00076.wav.9,pop,pop
country.00002.wav.1,country,country
pop.00060.wav.5,pop,pop
country.00015.wav.26,country,country
country.00007.wav.20,country,country
reggae.00032.wav.27,reggae,reggae
blues.00071.wav.26,blues,blues
classical.00070.wav.9,classical,classical
classical.00028.wav.12,classical,classical
blues.00079.wav.26,blues,blues
rock.00066.wav.20,rock,rock
metal.00034.wav.26,metal,metal
pop.00044.wav.11,pop,pop
jazz.00066.wav.12,jazz,classical
pop.00017.wav.0,pop,pop
reggae.00020.wav.14,reggae,reggae
country.00034.wav.18,country,disco
metal.00056.wav.3,metal,metal
rock.00072.wav.15,rock,rock
country.00085.wav.1,country,country
pop.00069.wav.2,pop,pop
classical.00045.wav.29,classical,classical
pop.00085.wav.18,pop,pop
hiphop.00049.wav.5,hiphop,hiphop
rock.00088.wav.2,rock,rock
metal.00045.wav.22,metal,metal
country.00018.wav.11,country,country
reggae.00040.wav.29,reggae,reggae
pop.00097.wav.13,pop,pop
jazz.00059.wav.10,jazz,reggae
hiphop.00098.wav.3,hiphop,hiphop
pop.00043.wav.18,pop,pop
country.00093.wav.21,country,country
hiphop.00007.wav.1,hiphop,hiphop
country.00074.wav.6,country,country
blues.00033.wav.12,blues,blues
reggae.00027.wav.15,reggae,reggae
reggae.00034.wav.20,reggae,reggae
country.00045.wav.3,country,country
disco.00089.wav.25,disco,disco
rock.00015.wav.13,rock,rock
disco.00044.wav.4,disco,disco
pop.00023.wav.11,pop,pop
classical.00098.wav.22,classical,classical
jazz.00075.wav.8,jazz,jazz
disco.00077.wav.21,disco,blues
rock.00091.wav.27,rock,rock
metal.00056.wav.4,metal,metal
blues.00063.wav.19,blues,blues
reggae.00013.wav.12,reggae,reggae
country.00018.wav.20,country,country
hiphop.00004.wav.27,hiphop,hiphop
blues.00044.wav.21,blues,blues
disco.00090.wav.4,disco,disco
country.00098.wav.27,country,country
country.00061.wav.10,country,country
classical.00060.wav.7,classical,classical
hiphop.00006.wav.22,hiphop,hiphop
metal.00014.wav.5,metal,metal
reggae.00037.wav.16,reggae,reggae
jazz.00040.wav.24,jazz,jazz
metal.00061.wav.8,metal,metal
metal.00016.wav.27,metal,metal
metal.00002.wav.16,metal,metal
hiphop.00027.wav.20,hiphop,hiphop
hiphop.00041.wav.13,hiphop,rock
blues.00074.wav.17,blues,blues
rock.00099.wav.25,rock,rock
pop.00070.wav.14,pop,pop
reggae.00012.wav.1,reggae,reggae
rock.00059.wav.7,rock,rock
pop.00078.wav.9,pop,pop
classical.00060.wav.3,classical,classical
hiphop.00072.wav.20,hiphop,hiphop
reggae.00050.wav.24,reggae,reggae
reggae.00075.wav.14,reggae,reggae
disco.00001.wav.16,disco,disco
reggae.00065.wav.12,reggae,reggae
country.00001.wav.16,country,country
hiphop.00087.wav.27,hiphop,hiphop
jazz.00016.wav.20,jazz,country
blues.00021.wav.7,blues,blues
disco.00071.wav.29,disco,disco
pop.00040.wav.3,pop,disco
jazz.00019.wav.13,jazz,jazz
metal.00080.wav.24,metal,metal
rock.00031.wav.17,rock,rock
rock.00094.wav.13,rock,rock
pop.00076.wav.21,pop,pop
reggae.00083.wav.29,reggae,reggae
blues.00025.wav.9,blues,blues
jazz.00060.wav.13,jazz,jazz
blues.00017.wav.11,blues,blues
pop.00019.wav.11,pop,pop
pop.00067.wav.21,pop,pop
disco.00042.wav.8,disco,disco
jazz.00051.wav.21,jazz,jazz
classical.00032.wav.14,classical,classical
hiphop.00054.wav.10,hiphop,hiphop
blues.00024.wav.27,blues,blues
rock.00097.wav.7,rock,rock
classical.00095.wav.5,classical,classical
jazz.00045.wav.15,jazz,jazz
pop.00070.wav.8,pop,pop
hiphop.00051.wav.8,hiphop,hiphop
jazz.00096.wav.19,jazz,jazz
disco.00093.wav.2,disco,disco
disco.00085.wav.15,disco,disco
