codigo,lista,usuario
3,36_ncy,iny_71
3,84_rlv,dcx_57
3,25_een,tpd_24
3,86_wiw,tdx_25
3,91_cmg,qww_60
3,46_vql,xkh_25
3,25_ltp,lsn_96
3,69_xki,ifx_22
3,65_ceg,bes_70
3,68_blu,ypq_2
3,77_inu,idb_64
3,43_nji,jns_92
3,94_tdw,ojl_40
3,3_yft,jtm_58
3,64_gxx,ifp_92
3,99_acw,eto_89
3,34_ayq,eue_44
3,95_fjt,wte_65
3,1_btm,sjn_82
3,80_vxg,nnx_94
3,76_rsf,eas_27
3,67_pds,owy_68
3,25_yss,vyu_41
3,20_lha,sid_65
3,59_vcx,vns_50
3,53_syy,fvd_54
3,32_jqi,nts_82
3,97_euw,dlg_56
3,35_ekb,vnp_47
3,55_bml,ehl_66
3,55_hbn,lvx_19
3,10_spw,lev_5
3,94_cwa,ndl_95
3,86_ffg,tku_76
3,20_dki,epu_9
3,68_jwj,tlk_23
3,44_ult,pmt_20
3,4_cju,wdp_16
3,46_yss,ywx_62
3,5_vos,nyk_25
3,78_jgm,tlc_56
3,0_hua,mex_36
3,49_nil,qek_30
3,37_ijk,chn_32
3,81_koy,wxb_24
3,33_imc,wld_37
3,4_ebh,xet_21
3,29_dlp,pys_2
3,96_ovn,gji_38
3,88_bmj,gsm_47
3,33_aie,tgv_68
3,28_vmu,jmx_45
3,34_asm,pty_96
3,80_ofl,nnw_83
3,7_gen,say_35
3,94_dkq,mje_8
3,78_lvn,kxs_18
3,73_rsy,rch_30
3,36_juv,hsi_87
3,2_woh,evj_0
3,19_qip,jqy_28
3,37_bem,odg_56
3,21_ccd,wea_66
3,85_vnr,dyy_73
3,6_eyy,kiq_16
3,8_qbu,hre_75
3,89_aad,vkj_86
3,38_bdt,ofh_22
3,30_bpa,wft_11
3,92_yxd,fvn_62
3,53_rmt,bkv_39
3,3_mxv,kfn_27
3,35_gbe,kkp_16
3,66_rse,mik_82
3,19_yik,ncg_49
3,4_nfj,hmn_19
3,7_oqg,acm_41
3,23_spq,ims_54
4,44_xmy,lib_95
4,95_pkt,moq_42
4,49_eje,ugo_80
4,81_phj,vyy_89
4,84_gpr,gcj_43
4,33_qks,sph_79
4,81_ifs,lka_23
4,57_txc,dlo_76
4,21_wai,cje_34
4,58_lwm,rgd_91
4,42_pso,wpd_71
4,56_xds,gff_11
4,10_pul,jtp_51
4,60_tsc,jqg_1
4,47_fxo,btn_29
4,95_hsy,sej_29
4,87_lat,adm_43
4,57_ter,cfm_27
4,51_ryg,sjy_93
4,32_gxv,meq_67
4,36_ccw,lsv_42
4,40_wux,tgo_38
4,68_yig,vlv_72
4,70_kae,hus_23
4,52_gpb,xdn_18
4,53_gij,emt_27
4,37_cow,xmn_86
4,78_kcp,vra_96
4,43_sqr,kab_15
4,32_bvc,nyu_14
4,89_qbe,bne_14
4,23_pgv,fdj_72
4,40_wrk,pkt_39
4,11_dmg,tga_59
4,95_exv,bmv_58
4,41_pkj,fwl_22
4,5_tku,fto_90
4,80_dhs,hby_45
4,46_mxt,vav_85
4,24_sak,nff_40
4,35_eip,ujc_62
4,38_ypk,xpr_41
4,0_non,nuk_40
4,38_ajl,rbt_70
4,12_rij,ebw_18
4,16_shj,iqx_11
4,8_mxc,lcq_61
4,75_yrf,rhj_76
4,80_wle,wlt_58
4,77_mco,age_55
4,74_txp,kje_40
4,83_fgc,bna_60
4,98_qtx,nef_14
4,89_hkn,ecu_56
4,8_tti,hng_67
4,78_ajv,xsr_94
4,48_akl,jls_53
4,30_orr,gpi_26
4,10_ctd,fmq_23
4,60_yki,hjw_34
4,63_wbe,xkn_36
4,42_rai,jak_21
4,48_syk,epg_51
4,34_hxp,qia_68
4,73_dwv,hjn_29
4,60_veg,xux_84
4,82_bll,uqg_6
4,52_pvf,eiy_29
4,45_wwd,vhs_80
4,52_ldm,baj_13
4,52_klm,fua_45
4,34_ufr,cub_19
4,12_drq,cmq_92
5,26_bjj,mjj_84
5,61_dgt,rrm_63
5,34_cpf,flo_26
5,96_oga,ufh_24
5,74_vbx,ovw_23
5,96_hou,miw_75
5,75_aga,svy_8
5,48_ior,dhm_2
5,9_kbs,ohi_0
5,87_suy,fkc_26
5,45_rnt,nqq_5
5,95_nhs,ftm_97
5,60_xdo,phr_0
5,89_nbm,tuv_69
5,36_jhl,aox_14
5,70_ooi,olt_98
5,14_dpn,jvx_61
5,42_xdx,vtv_97
5,21_gff,mjn_81
5,66_abo,wfr_33
5,46_kth,pae_17
5,99_vot,wus_39
5,32_svs,ydp_35
5,15_oua,csa_5
5,72_dtb,mqg_88
5,96_xxg,xjd_50
5,25_mql,faq_28
5,90_pkl,dkn_20
5,80_ypo,ssq_93
5,45_ega,qrv_13
5,27_ggj,kyq_30
5,88_qml,yva_48
5,26_cci,csm_5
5,79_dxl,shy_37
5,11_knj,xay_18
5,68_rlf,ybd_16
5,72_juq,vsu_90
5,59_yff,vut_33
5,44_dpe,omx_36
5,82_cmv,uic_39
5,82_pcj,lbg_8
5,97_wro,oae_16
5,45_qdb,wie_15
5,64_ouy,dad_64
5,13_cwq,ljg_27
5,53_ftl,txx_61
5,1_vlb,fms_77
5,97_uou,bef_23
5,60_ybf,wmw_39
5,77_vif,igk_37
5,42_lnu,ick_25
5,39_rdj,gpn_36
5,48_pth,qai_15
5,9_nbr,pjj_49
5,63_xrg,anh_45
5,87_vvj,kyb_82
5,81_qqh,kmu_6
5,40_qmi,kdr_86
5,7_goq,kwa_40
5,3_ejm,uif_8
5,13_ryu,bvh_6
5,38_imi,tsp_51
5,67_gqi,fui_48
5,10_ygq,sml_55
5,34_tcu,xyp_31
5,86_xyv,brd_39
5,7_vqr,agj_72
5,25_nta,kmr_2
5,12_qdv,vfs_19
5,27_juw,dxv_78
5,62_rhl,nng_73
5,96_qak,qfb_9
5,6_jtu,ghx_87
5,69_wvx,ffs_21
5,4_jlw,npt_8
5,51_kyl,xhf_19
5,55_ywl,xwp_61
5,51_yjd,ciu_14
5,90_lmp,bgb_93
5,33_ofm,ohi_93
5,67_meu,cht_74
5,45_vcv,agc_64
5,97_rlc,uwp_37
5,19_gvy,jip_1
5,40_ayt,flb_24
5,31_dxg,ltr_71
5,70_pmx,vyj_68
5,23_ohx,yvj_41
5,63_ptp,her_37
5,36_jsn,gxb_79
5,61_sla,fja_91
5,53_vut,tua_32
5,72_lsh,euf_18
5,14_obq,ivj_72
5,11_ohn,hwb_10
6,72_mlg,lbb_33
6,32_wdd,chu_41
6,6_fqk,ftt_27
6,35_mce,ati_62
6,1_nbc,mcr_28
6,21_tli,ybm_35
6,98_nln,kqx_26
6,89_cos,veu_10
6,92_pno,sqg_65
6,82_olu,cqv_30
6,62_fxw,vyn_83
6,96_dnc,cqd_9
6,61_kau,mbh_47
6,8_xlv,kqo_90
6,35_ovl,fpc_6
6,41_cwk,toq_57
6,60_jue,jqx_63
6,34_pyq,oem_5
6,74_vfx,tpt_57
6,19_xqu,lrf_9
6,55_shk,rlj_95
6,91_ibq,fct_49
6,39_xeo,fyf_24
6,59_oic,rgw_71
6,92_sxq,sqg_10
6,9_aie,kne_58
6,13_hcy,krr_58
6,40_agj,mag_41
6,32_hru,kxs_2
6,53_kva,uyd_61
6,36_ttb,wqr_57
6,58_pqc,ucj_87
6,44_ggj,qef_48
6,25_lgm,ygu_68
6,12_ols,xgu_82
6,77_qfl,xav_55
6,24_pal,bju_93
6,93_tuq,vem_22
6,49_dqw,wwr_74
6,23_yvy,ill_53
6,10_ekg,yyp_61
6,23_edt,uws_89
6,57_ybx,tgu_28
6,97_ynr,phr_82
6,94_jyk,gmq_0
6,78_dqa,fin_76
6,85_cly,uvh_90
6,78_rwu,dts_32
7,82_yrs,iln_57
7,64_qio,cbt_48
7,37_nsl,cld_66
7,80_tyi,pdj_5
7,57_iai,qmn_14
7,97_yid,sek_38
7,24_smg,vsc_20
7,74_ixi,fwm_27
7,25_okg,kkw_35
7,28_fwk,hut_7
8,96_wnc,qww_82
8,62_jyn,sru_41
8,97_bfs,lrg_5
8,51_axl,ihn_92
8,43_dme,qbl_80
8,39_pws,vcg_24
8,68_maq,crp_88
8,17_dwr,psw_42
8,12_jbh,joh_58
8,88_vfa,oij_37
8,67_sob,vvc_40
8,92_arj,fxr_28
8,59_ewq,hvk_9
8,67_wlk,ujh_40
8,59_mwh,ofl_27
8,88_ewq,mmv_70
8,17_qkn,exo_97
8,23_kyl,gqf_12
8,87_ama,qgb_32
8,89_pwc,bng_44
8,43_dwo,atr_97
8,75_wrs,uyd_39
8,64_oud,wgu_21
8,44_xbt,dbf_8
8,34_mvw,xmu_10
8,13_rip,oes_30
8,42_ybs,yts_68
8,7_vwq,rkk_42
8,81_lvc,ytd_5
8,77_drc,klk_10
8,65_rfk,qkk_30
8,34_lee,prf_5
8,8_dvn,ocv_86
8,83_ibh,evc_15
8,25_ecn,gdd_19
8,51_kad,evc_90
8,22_pkf,hob_93
8,90_ipk,acb_99
8,61_uek,ski_29
8,70_vth,iwf_68
8,44_gca,rek_77
9,57_gpc,lmm_77
9,2_fhv,uql_15
9,10_dps,tgk_26
9,18_sbr,yjg_90
9,9_clu,qed_56
9,6_ooh,aqt_18
9,54_ass,cmb_47
9,77_fbt,vxl_65
9,26_olu,yxc_29
9,32_ekf,lyc_51
9,56_nlq,lpd_62
9,53_edt,ovl_82
9,71_oyd,fye_0
9,55_xld,vwm_34
10,28_vyg,mls_54
10,60_fla,xyh_22
10,11_gru,ijd_27
10,78_pij,ieu_67
10,79_tff,idx_65
10,77_vxh,qjq_3
10,98_ivf,gpx_3
10,96_cdt,jay_21
10,65_rhy,cmj_4
10,18_qyy,yfb_79
10,39_rcf,ptb_61
10,10_wee,dwu_12
10,27_fjt,pwe_86
10,24_ecc,msb_90
10,83_uha,jub_21
10,72_ytx,hfm_99
10,37_yyn,hdy_35
10,37_xbl,mvv_90
10,63_gdj,hpk_37
10,68_xpg,qns_74
10,79_nlt,hhu_25
10,83_qju,sqa_0
10,49_cxu,jiv_86
10,38_ems,eqi_46
10,7_pmc,ehf_80
10,40_myu,vba_18
10,67_qma,rpl_86
10,19_its,paa_25
10,35_cgu,hre_41
10,58_ref,noc_43
10,19_yet,paq_74
10,54_jta,vey_3
10,41_ksj,tww_38
10,98_tgx,xnq_9
10,83_pua,etg_18
10,21_geh,eqq_75
10,55_jek,dvd_43
10,87_yvk,gxh_88
10,26_pjp,lpj_87
10,20_nup,gft_71
10,85_klo,iem_50
10,89_swa,xnl_34
10,53_crp,abt_90
10,99_gdc,iyk_71
10,80_dkt,nym_88
10,71_wsw,oui_66
10,67_cwn,wcx_5
10,80_euk,bsa_73
10,1_yuw,ald_13
10,22_drr,rbr_95
10,51_rdb,dis_70
10,13_ytj,bnw_30
10,90_pnp,xgg_29
10,69_suw,lgy_47
10,30_yeo,bgx_90
10,49_nxi,fiv_5
10,41_vtk,ruj_39
10,72_utq,inu_29
10,17_awy,cxm_99
10,31_fnc,mtx_87
10,46_cla,bqn_95
10,83_ivs,svv_21
10,27_ehf,ydi_33
10,66_lhd,svg_56
10,13_dbr,bul_62
10,74_skh,qnr_0
10,96_piw,ndm_69
10,6_chh,byw_87
10,32_ivn,yin_23
10,44_vya,ufo_31
10,46_ljg,tmn_30
11,52_lkd,inx_13
11,17_axy,ahf_94
11,89_uih,udh_64
11,96_oqu,sxy_10
11,4_gxu,iwr_43
11,21_kdh,ncx_6
11,31_are,wio_47
11,20_cot,jlw_52
11,78_ulh,xnp_5
11,81_ima,hkb_16
11,49_ndv,xbn_27
11,41_idk,rym_72
11,15_und,ysu_72
11,34_uch,hak_0
11,9_hxj,vws_80
11,72_ptl,moa_53
11,58_ipb,jej_79
11,97_txy,rov_55
11,50_sci,uhm_72
11,39_bbn,ahg_25
11,47_nip,kde_64
11,89_uvx,qyv_5
11,73_vwa,hcn_84
11,58_sja,nip_61
11,94_eix,tgx_30
11,11_ftb,hqm_35
11,3_nqv,rnk_36
11,86_ceu,tfi_32
11,94_ped,vmp_83
11,42_typ,sio_32
11,21_ytn,cqk_41
11,85_asu,shr_37
11,11_lvg,lsd_16
11,1_lli,rpt_2
11,48_cdn,qxo_4
11,63_dqi,amn_2
11,66_vpo,sba_68
11,17_eqs,uyv_31
11,80_qqq,qmg_22
11,42_hny,fcd_54
11,71_cgo,qqp_50
11,43_phd,fus_26
11,47_yxc,kmy_51
11,78_ubr,rrj_44
11,13_gmv,avj_61
11,55_qtj,rdr_56
11,30_dbn,jen_76
11,39_cyc,ock_54
11,2_mni,ksi_94
11,21_rux,clk_5
11,22_qpl,egr_4
11,14_ruf,wcg_65
11,35_sov,jet_77
11,91_tbh,ose_19
11,74_shm,pil_54
11,18_loa,art_43
11,66_frd,ugx_96
11,61_ffo,ava_66
11,93_rxc,kqf_87
11,78_nnb,gfr_4
11,50_ggl,yrm_0
11,30_aak,mrf_3
11,70_yrf,sgc_84
11,78_uto,tjh_65
11,72_mbg,qie_29
11,83_kdg,yxl_64
11,45_qjf,stq_39
11,44_gxs,awg_93
11,62_mls,ygm_73
11,93_xjs,joo_27
11,9_dhk,rui_84
11,51_trl,qcq_18
11,81_eew,ypv_6
11,44_dqy,gfn_23
11,58_vuv,cka_17
11,2_ljl,ugb_53
11,0_cak,vmv_25
11,5_eoo,wyx_38
11,40_uyw,mnn_13
11,28_ett,kwm_48
11,82_nba,tsk_63
11,2_spu,fsd_48
11,88_pdp,emj_89
11,33_dca,jfm_9
11,13_vtq,gst_16
11,87_upl,bid_59
12,92_wlo,urt_20
12,66_dyl,nbb_37
12,2_lio,rwx_19
12,29_iwu,thk_57
12,7_sxd,aod_86
12,18_rff,xqt_77
12,84_lgi,chb_33
12,66_bcs,iga_85
12,30_osk,apl_41
12,64_vdy,vbg_59
12,50_cha,pjg_67
12,3_hbq,gjq_68
12,61_shv,wcd_72
12,98_rmw,xmv_36
12,64_oth,ksl_85
12,42_llx,vxj_8
12,23_jln,kfr_22
12,26_gxp,bvf_17
12,71_chy,osh_69
12,48_sox,ket_50
12,96_rmx,wis_58
12,48_mpm,rmk_17
12,82_sgt,fxt_91
12,74_fil,axc_55
12,13_gfs,dxk_88
12,15_plx,rsv_74
12,56_nes,mht_48
12,33_ngh,vjv_55
12,27_vlf,fxl_91
12,33_cng,nsi_55
12,71_bsw,lqe_70
12,24_rqh,phc_18
12,79_qdw,oka_37
12,90_fse,siv_81
12,89_swh,rqp_95
12,44_hbu,byb_17
12,29_kef,tre_46
12,35_spt,ibn_31
12,23_wdq,umx_25
12,19_cwd,bvn_89
12,45_hbl,emy_61
12,42_meq,uje_27
12,61_ipc,ayv_76
12,98_gfu,vrg_67
12,24_ntd,hai_49
12,73_jaf,lom_32
12,49_klu,vjl_19
12,24_mmc,sjr_10
12,49_qjj,tbo_77
12,3_uck,bqh_31
12,70_otj,isp_59
12,36_qgt,uwn_8
12,4_hct,spt_77
12,50_qlq,vsp_95
12,99_ovy,tfx_23
12,46_jrh,xiy_42
12,66_voa,pnu_66
12,92_rns,nvt_54
12,9_qpr,mvm_84
12,91_isl,ghv_48
12,84_bdq,xac_26
12,89_bex,niy_4
12,59_jjx,sew_58
12,22_lvg,yoe_19
13,45_snj,bvh_55
13,5_moh,tok_75
14,56_gbf,ymk_20
14,67_qjj,bgc_95
14,52_qco,rfs_84
14,94_cmt,auc_54
14,33_voa,far_41
14,70_qth,wai_32
14,6_mif,eiq_59
14,59_nyn,uad_75
14,6_ytv,ltv_81
14,20_ejr,ync_62
14,82_jth,qty_23
14,48_nxr,dhy_69
14,92_gri,rfl_17
14,17_wyh,ipm_94
14,66_ikk,xbq_75
14,13_tal,hrd_41
14,3_swr,alw_1
14,13_suc,ils_39
14,16_koi,aee_80
14,7_poj,kfk_46
15,7_kgk,jjw_93
15,52_amt,fjd_9
16,59_ecr,joc_88
16,45_vtl,tcg_55
16,63_pbf,wjb_58
16,68_hue,ejg_25
16,46_kjx,dhj_63
16,77_fij,srw_29
16,5_biv,vvy_96
16,50_apc,okp_33
16,35_rbu,qlv_61
16,0_uhc,clu_77
16,54_vkw,rjp_99
16,70_unu,lcs_34
16,12_usy,lcb_16
16,45_nyv,ehr_75
16,71_jil,uwr_40
16,25_xxh,dni_66
16,18_dgf,ryb_41
16,93_qek,lvt_20
16,34_csl,oxt_55
16,89_axv,mfa_85
16,16_voy,vsc_8
16,53_nam,rqx_45
16,98_ekx,jjc_98
16,71_cdm,bpy_31
16,96_opt,ddh_18
16,71_flm,loy_58
16,77_cli,hpk_3
16,49_tcf,rqu_44
16,6_xyr,ngp_13
16,36_ova,fue_13
16,88_skr,rwd_47
16,48_mrw,rtf_29
16,62_jfr,sfd_81
16,95_mip,jfp_91
16,49_ceu,jwi_43
16,82_pmi,ifu_9
16,57_toa,uvb_88
16,79_wtc,qpd_77
16,70_bbg,vtp_93
16,28_nnr,jhw_81
16,46_fsh,avi_38
16,4_ito,wew_66
16,31_oed,iex_30
16,8_dvi,tgo_49
16,82_jyk,xff_75
16,94_rki,xvp_49
16,84_cvm,kjh_66
16,73_tln,tll_82
16,14_ebs,ppq_39
16,83_qkk,opw_88
16,1_jds,ols_70
16,1_spr,nus_95
16,38_jjy,jsb_69
16,43_vew,fpv_4
16,13_kfd,sxe_2
16,1_psi,ase_82
16,53_cii,atw_60
16,70_hkv,iwe_51
16,47_kdk,urm_99
16,29_rvn,imh_21
16,3_gsu,wgg_64
16,47_hra,xnc_93
16,93_iwx,adv_23
16,4_bap,emk_33
16,19_rwg,pnq_79
16,1_cgt,glg_78
17,46_qqu,ims_89
17,53_dfe,vsp_13
17,74_ltb,qyo_20
17,57_brk,hjy_6
17,8_xga,hau_28
17,62_xyv,lbw_66
17,89_pbo,lmu_81
17,87_unv,jcj_35
17,15_utg,slk_64
17,66_pcn,xqg_80
17,68_egc,cxx_93
17,0_cgx,ptu_36
17,45_bln,qqg_9
17,82_vgo,ltk_64
17,54_iqc,qng_15
17,49_pye,nek_53
17,73_nal,pou_10
17,35_nvd,eah_60
17,29_dgi,bdh_66
17,84_xga,dsi_18
17,98_jhx,kkc_33
17,56_abd,nfv_47
17,41_amm,mjj_62
17,84_jjf,uhh_28
17,85_kxc,ixe_39
17,96_phu,lpa_77
17,94_xst,lgh_76
17,9_tkj,hvw_61
17,31_kgr,fiu_93
17,98_sio,gxr_13
17,21_dep,kma_97
17,49_ysx,htp_71
17,59_wua,ogq_93
17,33_rfi,suw_59
17,20_eba,gun_5
17,73_tjf,rcg_32
17,35_wyr,ufx_35
17,82_gmi,skx_95
17,6_lpx,kpn_96
17,0_kei,mht_60
17,51_uch,cah_1
17,93_cig,nno_13
17,82_bce,lms_33
17,19_cic,lqg_12
17,60_ydc,rta_16
18,78_hxt,imm_91
18,46_boh,oky_8
18,7_bgt,nqk_77
18,53_ybe,vmy_75
18,80_jyn,wyi_6
18,29_mxm,vby_70
18,88_epc,jah_96
18,24_fdn,rxd_80
18,0_fij,dgo_65
18,70_ive,hgf_14
18,2_oit,fng_11
18,83_sgk,xfs_72
18,57_msh,qoh_29
18,5_mom,fmf_34
18,67_jmx,feh_21
18,72_scp,qch_10
18,8_fkf,dyy_91
18,64_asy,uhb_3
18,78_dpk,ojw_87
18,26_ehn,mpy_1
18,3_ejs,ywe_40
18,30_akj,dct_25
18,3_udn,uhn_77
18,77_kpc,jdj_15
18,16_lgt,gqk_69
18,39_fex,pgh_75
18,84_oqe,nfx_95
18,59_xvu,tdg_15
18,40_aop,byn_81
18,4_jot,ppn_78
18,77_gma,llp_40
18,0_jeu,ctl_40
18,47_opl,hqm_67
18,5_yhs,suy_88
18,24_mhk,mwh_71
18,36_tub,roj_0
18,38_ivr,rbf_95
18,64_cbf,xgo_33
18,86_uda,nwf_34
18,67_ibu,rva_46
18,24_wbt,wyg_19
18,77_xha,bkb_7
18,34_fhg,dmm_14
18,36_vli,oqd_12
18,52_rfx,cke_31
18,97_lhh,tfu_2
18,51_uae,rjh_19
18,50_hbh,cqy_92
18,36_dmd,pht_34
18,20_wfi,kff_77
18,78_joc,ktr_98
18,66_efd,sgr_65
18,60_int,ale_79
18,16_svb,ief_91
18,35_jst,trh_4
18,93_oss,joc_81
18,22_xdo,lox_55
18,79_qel,fur_3
18,37_tkr,sdt_92
18,41_fxo,kms_53
18,12_mws,urd_80
18,38_enb,bfa_8
18,36_usf,aed_27
19,47_fgh,pst_40
19,36_tas,gou_2
19,26_fmv,ikv_68
19,16_qxf,dwq_15
19,62_axv,rbu_57
19,69_iuh,ifk_13
19,17_dxi,xvm_88
19,13_tjb,ywv_12
19,35_qnj,umr_85
19,22_uwi,wrt_5
19,21_gpl,ioy_40
19,23_fgy,qyk_47
19,1_gke,bxw_8
19,32_tal,nbu_65
19,42_lbr,wmt_31
19,21_toa,nje_24
19,92_nta,oaw_43
19,22_bmu,xcc_85
19,85_vaj,wbf_90
19,80_vih,pdj_77
19,24_kir,uhb_44
19,41_har,nxp_54
19,3_atd,yxd_5
19,44_lyq,kbx_86
19,73_pbl,alp_69
19,28_lll,aww_54
19,42_ivc,ouy_51
19,89_kak,pgd_66
19,1_nai,jgv_2
19,61_nts,rjg_95
19,20_dbm,wxi_61
19,79_cig,iyl_74
19,70_uhs,vur_91
19,40_qsl,bvy_62
19,39_omg,dxf_1
19,31_tsm,ifs_70
19,34_xxc,ruv_53
19,77_moo,xuv_38
19,48_dwn,ybh_16
19,26_hud,qev_88
19,53_tts,mig_89
19,3_jic,dux_19
19,70_fgk,rmk_50
19,83_tag,hcy_88
19,57_chc,qjj_92
19,21_fbi,pdd_86
19,93_lkj,euk_40
19,24_tuw,grv_49
19,62_igb,ftn_27
19,2_ycy,yuh_20
19,37_hrl,gbv_63
19,33_uka,rvq_35
19,21_utl,vub_81
19,87_glx,smu_8
19,44_wss,jsg_9
19,7_lmw,ksp_26
19,9_ktk,kfe_87
19,4_mix,wjy_84
19,1_jkf,ebe_82
19,20_bpq,rkb_46
19,3_kbc,qiv_99
19,67_spx,hys_70
19,37_kar,trt_87
19,36_rao,cpu_52
19,74_lty,jyt_61
19,89_ydn,upm_26
19,11_xmp,dtu_81
20,47_khc,vcd_56
20,83_dsl,fkk_74
20,68_oyk,cat_33
20,97_xxx,vri_79
20,80_nqb,kwv_31
20,88_icq,auy_41
20,3_tfy,gla_31
20,8_wkn,dct_2
20,70_one,mcj_72
20,79_ilu,qbd_50
20,9_qqe,ysr_86
20,16_yrg,ugp_12
20,4_fjf,hms_23
20,6_bph,vux_31
20,21_wxb,ghp_77
20,8_aga,qab_98
20,10_xir,myx_70
20,78_ebh,nxp_14
20,17_ymh,var_83
20,2_juf,otu_85
20,33_dhg,afv_91
20,15_yvq,xkh_55
20,3_wyn,rrt_59
21,1_ccu,mjk_55
21,87_shm,txg_42
21,10_uqi,gjv_10
21,31_tfk,ryt_7
21,6_guq,osa_3
21,17_yyb,pko_24
21,97_iuh,tnx_12
21,4_bep,gvn_64
21,21_afh,arv_71
21,75_soq,qre_24
21,78_lec,tpq_61
21,0_exr,lfq_67
21,59_glo,nxi_70
21,70_fkh,dxf_9
21,62_jli,wkr_44
21,91_yjw,yne_48
21,79_fhh,ptg_44
21,55_mlf,ayy_96
21,32_nys,qym_30
21,68_tso,kot_36
21,76_qng,veb_68
21,10_dmw,tbr_11
21,76_ycv,kte_99
21,23_ovj,jwj_0
21,94_jds,iko_13
21,71_xdf,nfp_80
21,89_wjr,qrn_80
21,63_ojt,iqs_22
21,78_rhp,iky_12
21,28_yrm,gkg_89
21,53_gjt,ciq_28
21,91_luh,lge_53
21,4_rlq,xgv_38
21,30_qok,ctl_82
21,35_lsy,mfd_63
21,75_xmm,saq_85
21,51_pwd,yrx_49
21,88_hfa,yek_37
21,69_xav,amr_59
21,73_tbr,lvf_64
21,91_xmn,mcq_86
21,80_fci,ccq_26
21,31_bhb,yps_14
21,79_ehe,geo_87
21,48_cdk,kvm_37
21,85_yxs,xno_85
21,90_mur,byw_31
21,40_wtp,cpo_10
21,95_bdr,oat_62
21,82_sjq,ypg_26
21,42_dud,geo_27
21,1_nqn,mis_31
21,60_tns,vqm_47
21,64_aaw,ayj_58
21,18_jvx,osa_20
21,27_fra,rbt_62
21,99_gyx,hjv_86
21,20_cxl,utv_97
21,99_jjn,ixx_76
21,71_tno,blt_31
21,57_vvj,rcc_89
21,70_uau,cba_7
21,53_fpi,wqd_6
21,16_nor,qqb_23
21,20_dci,jrj_79
21,86_kvp,fyo_72
21,94_efk,yjl_29
21,39_nis,wxr_72
22,17_ney,fem_97
22,30_mrb,rjt_37
22,59_kqs,fuf_80
22,9_ltp,mar_39
22,27_ebq,fvb_71
22,77_qho,tip_68
22,39_gum,xts_71
22,37_oum,eka_23
22,39_oov,oam_76
22,16_phj,hqv_1
22,52_ufr,exu_47
22,8_xxf,rhd_32
22,98_qfk,bvk_5
22,27_daj,nur_79
22,0_opw,phb_85
22,25_ves,ldw_49
22,8_iin,ski_61
22,10_wtv,ovh_1
22,19_oju,gpw_88
22,86_dob,fam_21
22,56_hdj,kpm_86
22,32_cao,bon_87
22,76_eyp,fnm_45
22,34_jnh,evq_76
22,6_eyh,cld_74
22,25_kwq,hjh_27
22,17_buf,auf_70
22,95_dwl,bft_34
22,14_awj,owr_63
22,81_bel,ifd_15
22,1_xcs,hmh_44
23,62_kqd,gpa_63
23,36_hqs,tmi_69
23,70_agx,mnm_13
23,9_uil,mhm_78
23,9_rog,xmd_49
23,58_tjr,ahn_21
23,21_old,nnc_61
23,12_lfu,njc_54
23,42_atf,ldd_76
23,48_ejg,iok_23
23,70_gkd,jni_79
23,47_ots,ogi_67
23,98_tue,uiv_83
23,40_rnj,wxl_96
23,93_cye,hwo_26
